ID,Ten,GioiTinh,ChucVu,PhongBan,HieuSuat,NgayVaoLam,TrangThai,Luong,Thuong,SoDienThoai,Email
390,Vu Quang Chi,Nam,Nhan vien,Marketing,97,2023-09-01,Da nghi viec,12943945,2215643,0389154919,vuquangchi569@yahoo.com
391,Phan Duc Dung,Nu,Quan ly,Marketing,94,2022-07-28,Dang lam viec,22151066,3685986,0196468670,phanducdung376@yahoo.com
392,Tran Ngoc Binh,Nam,Nhan vien,Ke toan,84,2023-04-23,Da nghi viec,15653386,3222852,0610748927,tranngocbinh701@gmail.com
393,Pham Thanh An,Nam,Quan ly,Ke toan,100,2022-04-05,Da nghi viec,14146424,3330232,0263788960,phamthanhan520@yahoo.com
394,Hoang Duc Giang,Nu,Quan ly,HR,79,2021-01-13,Da nghi viec,15408096,2914567,0918579488,hoangducgiang517@yahoo.com
395,Nguyen Van Giang,Nu,Truong phong,Marketing,90,2021-12-09,Dang lam viec,11794940,5223039,0251488397,nguyenvangiang615@company.vn
396,Vu Thanh Chi,Nu,Nhan vien,Ke toan,77,2023-12-30,Da nghi viec,17624921,4403105,0878484068,vuthanhchi617@gmail.com
397,Do Quang Dung,Nu,Nhan vien,Marketing,100,2019-01-15,Da nghi viec,20657530,5269586,0917377402,doquangdung394@yahoo.com
398,Dang Quang Chi,Nu,Truong phong,Marketing,91,2019-04-13,Dang lam viec,21818405,5904518,0062729093,dangquangchi435@company.vn
399,Le Duc Giang,Nu,Truong phong,IT,65,2020-04-22,Da nghi viec,23183698,2611540,0208029213,leducgiang933@yahoo.com
400,Le Ngoc Trang,Nam,Nhan vien,IT,76,2020-07-07,Dang lam viec,17132255,3168465,0827695871,lengoctrang516@company.vn
401,Bui Quang Hoa,Nam,Truong phong,Marketing,94,2018-08-28,Da nghi viec,15544979,2075365,0394453286,buiquanghoa869@company.vn
402,Nguyen Thanh Chi,Nam,Quan ly,IT,74,2018-03-09,Dang lam viec,28397433,3814087,0822679474,nguyenthanhchi191@gmail.com
403,Phan Duc Chi,Nam,Truong phong,HR,80,2023-12-09,Dang lam viec,14216623,3960854,0990563390,phanducchi276@company.vn
404,Dang Minh Binh,Nam,Quan ly,IT,68,2024-11-25,Da nghi viec,20701006,3450444,0583453378,dangminhbinh270@company.vn
405,Bui Minh Hoa,Nam,Truong phong,Marketing,94,2022-09-13,Dang lam viec,17599252,5388698,0001483122,buiminhhoa445@yahoo.com
406,Vu Thanh Linh,Nu,Truong phong,Marketing,91,2024-09-10,Dang lam viec,24661450,3972409,0794374742,vuthanhlinh663@yahoo.com
407,Pham Ngoc Khanh,Nu,Truong phong,Ke toan,73,2023-09-08,Da nghi viec,21084522,2351269,0191666401,phamngockhanh585@gmail.com
408,Le Van Dung,Nam,Truong phong,HR,81,2019-02-25,Dang lam viec,9926083,3268035,0416515287,levandung694@company.vn
409,Hoang Hong An,Nu,Truong phong,IT,91,2018-12-24,Dang lam viec,15844061,7059111,0045436704,hoanghongan631@company.vn
410,Do Duc Khanh,Nam,Truong phong,Marketing,100,2020-02-27,Da nghi viec,24958863,2216791,0827709602,doduckhanh821@company.vn
411,Phan Minh Nam,Nam,Quan ly,Marketing,85,2018-10-05,Da nghi viec,21537246,2324927,0280492728,phanminhnam730@gmail.com
412,Pham Thanh Trang,Nam,Nhan vien,Marketing,63,2022-05-15,Da nghi viec,18007010,4472231,0115478402,phamthanhtrang700@yahoo.com
413,Nguyen Duc Khanh,Nu,Quan ly,IT,78,2020-01-24,Dang lam viec,18751454,7944270,0539152306,nguyenduckhanh272@gmail.com
414,Tran Hong An,Nam,Nhan vien,Ke toan,85,2024-09-09,Da nghi viec,12218080,3098937,0200835330,tranhongan112@gmail.com
415,Le Hong Binh,Nam,Truong phong,Ke toan,88,2020-03-03,Dang lam viec,16518911,4757310,0210699479,lehongbinh618@yahoo.com
416,Pham Quang Giang,Nam,Truong phong,Ke toan,78,2019-08-03,Da nghi viec,10509221,4042529,0280090565,phamquanggiang563@company.vn
417,Tran Thanh Trang,Nam,Nhan vien,Ke toan,81,2024-03-22,Dang lam viec,21629465,2232281,0737161865,tranthanhtrang891@gmail.com
418,Vu Quang An,Nam,Truong phong,Ke toan,96,2019-01-02,Dang lam viec,14419489,2265287,0118765753,vuquangan609@yahoo.com
419,Do Quang Binh,Nam,Truong phong,Ke toan,80,2021-12-02,Dang lam viec,17015557,4417163,0492793566,doquangbinh776@yahoo.com
420,Vu Duc Binh,Nam,Nhan vien,IT,89,2018-02-26,Da nghi viec,21096136,5275562,0932049465,vuducbinh575@company.vn
421,Phan Quang Khanh,Nam,Nhan vien,HR,77,2018-10-28,Da nghi viec,9154673,1094667,0371564969,phanquangkhanh699@company.vn
422,Phan Quang Dung,Nam,Quan ly,HR,73,2019-08-29,Dang lam viec,9059844,3664912,0539282863,phanquangdung642@yahoo.com
423,Pham Thi Binh,Nam,Nhan vien,HR,96,2022-06-02,Da nghi viec,10701216,2393864,0269629843,phamthibinh507@yahoo.com
424,Vu Thanh Giang,Nam,Truong phong,Marketing,99,2023-12-22,Dang lam viec,24544962,5465398,0600818063,vuthanhgiang687@gmail.com
425,Nguyen Duc Khanh,Nam,Truong phong,Ke toan,61,2020-06-29,Dang lam viec,18767881,2884750,0313446797,nguyenduckhanh552@yahoo.com
426,Le Duc Nam,Nu,Truong phong,Ke toan,88,2018-07-19,Da nghi viec,21923533,1574862,0401792356,leducnam956@company.vn
427,Bui Ngoc Binh,Nam,Truong phong,HR,77,2019-03-29,Dang lam viec,16014232,1649302,0888150527,buingocbinh24@company.vn
428,Hoang Thanh Chi,Nam,Quan ly,HR,99,2020-11-21,Da nghi viec,12275414,2568429,0303737811,hoangthanhchi972@yahoo.com
429,Dang Thanh Giang,Nam,Truong phong,Ke toan,86,2024-04-04,Dang lam viec,18528196,1563629,0043240069,dangthanhgiang631@yahoo.com
430,Pham Minh Linh,Nam,Truong phong,Ke toan,77,2022-02-14,Dang lam viec,21566351,1696651,0690094569,phamminhlinh29@yahoo.com
431,Nguyen Thi Trang,Nam,Quan ly,Ke toan,99,2021-02-01,Dang lam viec,14164860,2436103,0508281441,nguyenthitrang154@company.vn
432,Bui Minh Nam,Nu,Nhan vien,Marketing,71,2022-06-14,Dang lam viec,22055563,5373820,0751775210,buiminhnam629@company.vn
433,Phan Minh Hoa,Nam,Quan ly,IT,88,2022-12-10,Dang lam viec,21883458,2154197,0135050237,phanminhhoa360@gmail.com
434,Phan Quang Hoa,Nam,Truong phong,Marketing,86,2022-07-23,Dang lam viec,13748173,5054280,0436809134,phanquanghoa563@yahoo.com
435,Vu Quang Linh,Nu,Nhan vien,Ke toan,94,2019-09-24,Dang lam viec,10974567,2108783,0099668174,vuquanglinh986@company.vn
436,Pham Thanh Dung,Nam,Truong phong,IT,97,2023-06-17,Dang lam viec,24112367,3267782,0960598790,phamthanhdung441@yahoo.com
437,Bui Hong Trang,Nam,Quan ly,Marketing,98,2022-03-30,Dang lam viec,15308684,4468972,0947341724,buihongtrang268@company.vn
438,Hoang Thi Dung,Nam,Truong phong,IT,86,2023-05-10,Da nghi viec,24704722,6099129,0107157226,hoangthidung418@yahoo.com
439,Le Hong Linh,Nu,Truong phong,Marketing,77,2022-07-02,Da nghi viec,22461303,3941062,0936050984,lehonglinh172@yahoo.com
440,Le Ngoc Trang,Nu,Nhan vien,Ke toan,70,2020-11-12,Dang lam viec,17763124,2530112,0245615850,lengoctrang19@gmail.com
441,Hoang Thi Dung,Nu,Truong phong,Marketing,86,2021-06-19,Da nghi viec,13036652,4408344,0953641088,hoangthidung458@company.vn
442,Do Minh An,Nam,Truong phong,HR,75,2019-03-29,Dang lam viec,14658777,1583277,0333188805,dominhan230@company.vn
443,Dang Thi Chi,Nam,Truong phong,Marketing,77,2019-07-19,Da nghi viec,18188532,4187146,0889330473,dangthichi585@gmail.com
444,Pham Hong Dung,Nam,Nhan vien,Ke toan,74,2018-05-01,Dang lam viec,20465125,1535494,0937230241,phamhongdung239@company.vn
445,Dang Duc Giang,Nu,Truong phong,Ke toan,79,2018-12-21,Dang lam viec,17189954,1617954,0925359158,dangducgiang844@company.vn
446,Le Duc Linh,Nu,Quan ly,Marketing,72,2018-10-11,Dang lam viec,12398519,4166540,0755007687,leduclinh937@gmail.com
447,Bui Quang Khanh,Nu,Nhan vien,HR,81,2019-10-02,Da nghi viec,19560084,1381891,0445177998,buiquangkhanh520@yahoo.com
448,Vu Van Khanh,Nu,Truong phong,IT,93,2019-01-25,Da nghi viec,27071306,6182104,0581216939,vuvankhanh512@yahoo.com
449,Pham Minh Giang,Nu,Quan ly,HR,90,2023-01-23,Dang lam viec,16596461,1391253,0556550571,phamminhgiang263@company.vn
450,Tran Hong Giang,Nam,Quan ly,Marketing,77,2018-11-05,Dang lam viec,18558677,2784553,0636269780,tranhonggiang30@company.vn
451,Phan Hong Hoa,Nam,Quan ly,IT,70,2022-05-01,Da nghi viec,25339248,2369157,0157989253,phanhonghoa2@yahoo.com
452,Pham Thanh Dung,Nu,Truong phong,Ke toan,71,2019-06-19,Dang lam viec,15149834,3841193,0484280601,phamthanhdung952@yahoo.com
453,Do Minh Chi,Nam,Nhan vien,Ke toan,87,2020-10-25,Dang lam viec,17866943,1504832,0383386164,dominhchi387@gmail.com
454,Dang Van Hoa,Nu,Quan ly,Marketing,64,2022-10-31,Dang lam viec,18304354,2496234,0874880007,dangvanhoa709@gmail.com
455,Vu Thanh Dung,Nu,Truong phong,Marketing,92,2021-02-24,Dang lam viec,16089322,2829062,0878827119,vuthanhdung386@gmail.com
456,Pham Duc An,Nam,Truong phong,Marketing,66,2020-03-22,Da nghi viec,23603893,4968798,0228171510,phamducan417@company.vn
457,Do Thi An,Nu,Nhan vien,HR,98,2022-12-19,Da nghi viec,17559878,1181085,0533205334,dothian566@company.vn
458,Le Quang Chi,Nu,Quan ly,HR,70,2022-08-30,Da nghi viec,17940041,2988305,0477843622,lequangchi213@gmail.com
459,Do Quang Nam,Nu,Truong phong,IT,77,2018-07-08,Dang lam viec,29067668,3213745,0883832013,doquangnam928@company.vn
460,Le Hong Dung,Nu,Nhan vien,Marketing,71,2019-10-18,Dang lam viec,17983180,5958032,0142903604,lehongdung954@yahoo.com
461,Do Quang Dung,Nam,Quan ly,IT,61,2020-10-01,Dang lam viec,29483948,7469919,0100829546,doquangdung960@company.vn
462,Le Thi Nam,Nam,Nhan vien,HR,88,2018-11-17,Da nghi viec,11684840,2313461,0183233957,lethinam405@company.vn
463,Bui Duc Nam,Nu,Nhan vien,IT,70,2024-11-03,Dang lam viec,20050058,4208835,0631520459,buiducnam289@gmail.com
464,Nguyen Thanh Giang,Nu,Truong phong,IT,78,2023-06-10,Da nghi viec,22939444,2268135,0840664907,nguyenthanhgiang769@company.vn
465,Do Minh Chi,Nu,Quan ly,Marketing,89,2020-05-18,Da nghi viec,16401290,5523178,0099080886,dominhchi743@gmail.com
466,Bui Quang Khanh,Nu,Truong phong,IT,61,2024-06-05,Dang lam viec,13116972,6320036,0719481123,buiquangkhanh568@gmail.com
467,Vu Van An,Nu,Nhan vien,HR,91,2024-10-18,Dang lam viec,14712848,3989888,0090336002,vuvanan913@company.vn
468,Bui Thi Trang,Nam,Nhan vien,Marketing,78,2024-03-08,Dang lam viec,24031867,3417079,0728041513,buithitrang855@company.vn
469,Nguyen Ngoc Linh,Nu,Nhan vien,Ke toan,66,2023-05-12,Da nghi viec,17442030,4581601,0228040026,nguyenngoclinh638@company.vn
470,Tran Thanh An,Nam,Nhan vien,Ke toan,100,2023-01-01,Da nghi viec,16389276,4528102,0363179013,tranthanhan544@yahoo.com
471,Nguyen Thi An,Nam,Quan ly,Marketing,85,2018-02-14,Da nghi viec,23430695,3136696,0248112941,nguyenthian579@yahoo.com
472,Dang Thanh Linh,Nu,Quan ly,IT,91,2023-01-06,Da nghi viec,12995629,2384087,0584339812,dangthanhlinh705@yahoo.com
473,Le Thi Binh,Nu,Nhan vien,Marketing,91,2019-02-02,Da nghi viec,23561505,2216359,0788013467,lethibinh260@company.vn
474,Hoang Ngoc Giang,Nam,Truong phong,HR,82,2018-09-18,Da nghi viec,11772617,3645715,0662227807,hoangngocgiang357@yahoo.com
475,Tran Quang Dung,Nam,Quan ly,Ke toan,100,2023-02-02,Da nghi viec,21853050,1991171,0704003924,tranquangdung514@yahoo.com
476,Bui Thi Hoa,Nam,Truong phong,Marketing,68,2021-05-25,Dang lam viec,16818779,3554376,0163153672,buithihoa336@gmail.com
477,Pham Van Khanh,Nam,Nhan vien,Ke toan,94,2019-04-21,Da nghi viec,19838785,1848062,0766001177,phamvankhanh413@company.vn
478,Nguyen Quang Chi,Nu,Nhan vien,HR,83,2023-08-08,Dang lam viec,11237410,2717668,0135748058,nguyenquangchi344@company.vn
479,Vu Minh Hoa,Nu,Nhan vien,Marketing,82,2022-06-04,Da nghi viec,15358877,4858966,0269985410,vuminhhoa107@company.vn
480,Bui Quang Binh,Nam,Quan ly,IT,87,2019-04-26,Da nghi viec,22344485,3481739,0302379934,buiquangbinh543@gmail.com
481,Phan Minh Hoa,Nu,Truong phong,IT,87,2020-07-29,Da nghi viec,19476678,4467354,0278257878,phanminhhoa532@company.vn
482,Dang Van Linh,Nam,Nhan vien,Marketing,92,2018-06-05,Dang lam viec,19113193,3486322,0502694073,dangvanlinh588@gmail.com
483,Hoang Thanh Binh,Nam,Truong phong,HR,97,2023-05-26,Dang lam viec,10610741,1796960,0463751888,hoangthanhbinh285@gmail.com
484,Do Van Linh,Nu,Truong phong,Ke toan,76,2024-02-13,Dang lam viec,12782657,4945161,0893133915,dovanlinh975@gmail.com
485,Vu Thi Chi,Nu,Nhan vien,Ke toan,72,2023-12-21,Dang lam viec,10600307,4286263,0223350832,vuthichi911@yahoo.com
486,Do Thi Chi,Nu,Nhan vien,Marketing,69,2022-01-07,Da nghi viec,11729178,3678355,0347005306,dothichi970@gmail.com
487,Nguyen Thanh Dung,Nam,Truong phong,Ke toan,94,2018-10-09,Dang lam viec,10191658,3968530,0029009544,nguyenthanhdung960@company.vn
488,Tran Van Binh,Nu,Truong phong,Ke toan,86,2019-02-27,Dang lam viec,14121915,3360220,0419598363,tranvanbinh198@company.vn
489,Phan Quang Khanh,Nam,Nhan vien,HR,64,2024-11-08,Da nghi viec,9811734,3313905,0765721939,phanquangkhanh555@company.vn
490,Dang Duc Hoa,Nu,Nhan vien,IT,91,2022-04-11,Da nghi viec,23891988,4104598,0112939320,dangduchoa958@gmail.com
491,Nguyen Duc Dung,Nam,Truong phong,HR,81,2020-08-09,Da nghi viec,11365603,3535362,0912637207,nguyenducdung797@company.vn
492,Bui Quang Binh,Nu,Quan ly,Marketing,86,2018-12-04,Da nghi viec,18991816,3076263,0529192530,buiquangbinh989@company.vn
493,Do Thanh Linh,Nam,Quan ly,Ke toan,63,2020-02-22,Dang lam viec,21623878,2352526,0807962674,dothanhlinh23@gmail.com
494,Le Duc An,Nam,Quan ly,HR,76,2023-10-18,Dang lam viec,17756684,3847889,0901835064,leducan899@gmail.com
495,Hoang Van Hoa,Nu,Truong phong,Ke toan,85,2020-11-09,Da nghi viec,18739492,2561741,0544116924,hoangvanhoa792@gmail.com
496,Pham Thanh Giang,Nu,Quan ly,HR,65,2020-09-11,Da nghi viec,18110840,3204233,0948772515,phamthanhgiang379@company.vn
497,Pham Hong Binh,Nu,Truong phong,Ke toan,72,2018-07-09,Dang lam viec,13515634,4891547,0366618346,phamhongbinh952@yahoo.com
498,Nguyen Thanh Khanh,Nu,Quan ly,Ke toan,64,2023-08-23,Dang lam viec,16657537,3004490,0909526761,nguyenthanhkhanh809@gmail.com
499,Le Duc Nam,Nu,Nhan vien,Marketing,86,2020-07-01,Da nghi viec,21018938,4029564,0193592393,leducnam211@yahoo.com
500,Bui Ngoc Linh,Nam,Nhan vien,HR,78,2018-12-21,Da nghi viec,19345928,1476045,0725979193,buingoclinh965@gmail.com
501,Hoang Minh Trang,Nam,Nhan vien,HR,71,2023-05-07,Dang lam viec,14093954,2254932,0251408015,hoangminhtrang237@gmail.com
502,Nguyen Van Chi,Nu,Quan ly,IT,88,2022-05-11,Da nghi viec,23297948,5878830,0323648711,nguyenvanchi375@yahoo.com
503,Do Thi Linh,Nu,Quan ly,Ke toan,78,2023-09-11,Dang lam viec,16407738,2708168,0490285880,dothilinh227@yahoo.com
504,Phan Thi Hoa,Nam,Quan ly,HR,79,2018-05-31,Dang lam viec,17890596,1228586,0498197021,phanthihoa65@gmail.com
505,Dang Hong Binh,Nu,Truong phong,HR,66,2020-04-22,Dang lam viec,14020504,2137709,0799621022,danghongbinh617@gmail.com
506,Le Hong An,Nu,Quan ly,Marketing,94,2023-09-21,Da nghi viec,17083540,2979473,0775315994,lehongan897@yahoo.com
507,Hoang Minh Khanh,Nam,Nhan vien,HR,82,2022-03-04,Dang lam viec,19822390,1632296,0709669783,hoangminhkhanh290@company.vn
508,Nguyen Thi Trang,Nu,Truong phong,Marketing,97,2019-04-26,Dang lam viec,13552296,5977909,0374663898,nguyenthitrang786@company.vn
509,Hoang Van Linh,Nam,Nhan vien,Marketing,99,2022-09-09,Da nghi viec,14649843,5805064,0077358107,hoangvanlinh775@company.vn
510,Le Van An,Nam,Truong phong,Marketing,74,2019-11-23,Da nghi viec,14992069,2261656,0583910389,levanan400@yahoo.com
511,Dang Thi Giang,Nu,Quan ly,HR,97,2023-10-09,Da nghi viec,19468954,3368828,0644085527,dangthigiang994@yahoo.com
512,Pham Hong An,Nu,Quan ly,Marketing,68,2022-01-29,Dang lam viec,15681161,4341080,0799935757,phamhongan416@yahoo.com
513,Bui Thi Dung,Nu,Quan ly,Ke toan,97,2021-01-01,Dang lam viec,20668123,4874936,0136248287,buithidung225@company.vn
514,Tran Hong Dung,Nu,Nhan vien,Marketing,67,2021-10-05,Dang lam viec,11382281,5239719,0053869606,tranhongdung283@company.vn
515,Dang Thi Nam,Nam,Quan ly,HR,71,2018-10-09,Dang lam viec,19248455,2179118,0819368753,dangthinam635@gmail.com
516,Vu Quang Chi,Nam,Quan ly,HR,70,2019-03-29,Da nghi viec,16210900,3488196,0448496126,vuquangchi239@company.vn
517,Dang Hong Giang,Nu,Nhan vien,Ke toan,72,2019-06-18,Da nghi viec,13435514,3926031,0256065086,danghonggiang184@gmail.com
518,Do Duc Khanh,Nu,Quan ly,IT,72,2022-10-04,Dang lam viec,20439241,2378538,0834200964,doduckhanh167@yahoo.com
519,Tran Hong Binh,Nu,Truong phong,Ke toan,92,2018-03-17,Dang lam viec,15179327,1780455,0403980333,tranhongbinh498@company.vn
520,Hoang Ngoc Giang,Nam,Quan ly,Marketing,60,2022-08-06,Dang lam viec,24846114,3553506,0296508395,hoangngocgiang468@company.vn
521,Phan Minh Nam,Nam,Quan ly,Marketing,74,2024-12-15,Dang lam viec,12473224,3529898,0463505417,phanminhnam514@company.vn
522,Nguyen Quang Linh,Nam,Quan ly,IT,61,2019-04-09,Da nghi viec,23232899,5444154,0650934708,nguyenquanglinh987@company.vn
523,Le Hong An,Nam,Quan ly,HR,93,2022-09-28,Dang lam viec,9333976,1494942,0418345683,lehongan808@company.vn
524,Pham Minh Giang,Nu,Quan ly,Ke toan,67,2024-12-25,Dang lam viec,15663495,4791430,0917007213,phamminhgiang958@gmail.com
525,Hoang Quang Khanh,Nu,Nhan vien,IT,79,2023-05-25,Da nghi viec,26683320,3889976,0759509440,hoangquangkhanh376@gmail.com
